MMM,AOS,ABT,ABBV,ABMD,ACN,ATVI,ADM,ADBE,ADP
0.007033138734394156,0.003004684244947528,0.00039725690718337613,-0.0016922866421865022,-0.004701734982250517,-0.006025467822766977,0.0019718749557712566,0.0043747887311617615,-0.008432072502412903,0.0015332712893528827
0.003004684244947528,0.023828633201900748,0.0022982578123907026,-0.004719053503358799,-0.02891045992137079,0.0034305671368044265,-0.02111360150117082,0.010622303761568407,-0.028495194500164037,0.0012127369765114091
0.00039725690718337613,0.0022982578123907026,0.009545628052171939,-0.0025642749522542395,-0.00773624676442964,0.0008183347696332012,-0.012033722916255115,0.0017256667327689567,-0.0006883933664540255,0.004505558804479255
-0.0016922866421865022,-0.004719053503358799,-0.0025642749522542395,0.0036092259647829373,0.0036915065755374846,-0.0008264332996820779,0.0051419939743011945,-0.003016063812156978,0.00681426274677119,-0.0017348827161452808
-0.004701734982250517,-0.02891045992137079,-0.00773624676442964,0.0036915065755374846,0.1811434355019912,0.005033198904464762,0.0567165953252716,-0.010815074041107651,0.03643493080441796,0.00024801178874607883
-0.006025467822766977,0.0034305671368044265,0.0008183347696332012,-0.0008264332996820779,0.005033198904464762,0.03380000131987614,-0.024184067385099654,-0.0045076819983415105,0.006271454208514139,-0.0028722939731557658
0.0019718749557712566,-0.02111360150117082,-0.012033722916255115,0.0051419939743011945,0.0567165953252716,-0.024184067385099654,0.1128582524744184,-0.002132898277000601,-0.020285245822338264,-0.003920143895590682
0.0043747887311617615,0.010622303761568407,0.0017256667327689567,-0.003016063812156978,-0.010815074041107651,-0.0045076819983415105,-0.002132898277000601,0.0182857076969241,-0.030213536700905735,0.0018703624689338277
-0.008432072502412903,-0.028495194500164037,-0.0006883933664540255,0.00681426274677119,0.03643493080441796,0.006271454208514139,-0.020285245822338264,-0.030213536700905735,0.14151454616954,0.0010785931998488559
0.0015332712893528827,0.0012127369765114091,0.004505558804479255,-0.0017348827161452808,0.00024801178874607883,-0.0028722939731557658,-0.003920143895590682,0.0018703624689338277,0.0010785931998488559,0.008497638347067332
