ACN
ADP
ALLE
ALL
ANET
T
ATO
BDX
BLK
BWA
CRL
CI
COP
DHR
DISCA
ECL
FBHS
GD
HSY
HES
ITW
IBM
IP
IRM
KIM
LHX
LDOS
LEN
LMT
MRO
MKTX
MKC
MET
MAA
NWL
NCLH
OMC
OTIS
PCAR
PLD
PSA
PVH
O
REG
SPGI
SYF
TYL
VTR
WMT
WFC
WELL
ZTS
