,0
ACN,0.008086305414281283
ADP,-0.0011895771573031421
ALLE,-0.011039201388049804
ALL,-0.011264349037277466
ANET,0.005339452149838953
T,0.011719645030134522
ATO,0.0022428946448075993
BDX,-0.004467099081707757
BLK,-0.022581596937229446
BWA,-0.0018571230661883742
CRL,-0.0039767136153798155
CI,-0.0011128555614731805
COP,-0.006362322982206985
DHR,-0.005931563701371965
DISCA,-0.001987746581533012
ECL,-0.002762256676223671
FBHS,-0.038297303495332356
GD,-0.009857337919797147
HSY,-0.004139638465902487
HES,-0.011352214342909893
ITW,0.001945609780317502
IBM,-0.002052977991655628
IP,0.018297848405760236
IRM,-0.009143831750951856
KIM,-0.00871529030411643
LHX,-0.0036133602106781615
LDOS,-0.001690435285772256
LEN,-0.025039108398325512
LMT,-0.021903783777827587
MRO,-0.0012933531339423337
MKTX,0.030116320981362025
MKC,-0.005843777995641659
MET,-0.017416409260676266
MAA,-0.0032115432501474417
NWL,0.015648010982394617
NCLH,-0.008291232830556872
OMC,0.0028827089810357417
OTIS,-0.0210490759989407
PCAR,-0.002799501534087863
PLD,-0.006639434416991593
PSA,-0.005401366271508057
PVH,-0.01777578854016152
O,-0.007477947380553921
REG,-0.007696620932634052
SPGI,-0.000331687316552981
SYF,-0.00577215877588904
TYL,0.04303205182735732
VTR,-0.01986320628584475
WMT,0.009212691590176935
WFC,0.004147833252693932
